"CUSTOMER_ID","CUST_FIRST_NAME","CUST_LAST_NAME","CUST_ADDRESS","PHONE_NUMBERS","NLS_LANGUAGE","NLS_TERRITORY","CREDIT_LIMIT","CUST_EMAIL","ACCOUNT_MGR_ID","CUST_GEO_LOCATION","DATE_OF_BIRTH","MARITAL_STATUS","GENDER","INCOME_LEVEL"
240,"Malcolm","Kanth",oracle.sql.STRUCT@6dc184bc,[+1 410 123 4816],"us","AMERICA",2400,"Malcolm.Kanth@PIPIT.COM",145,oracle.sql.STRUCT@5e3a9fb6,19/06/55,"married","F","H: 150,000 - 169,999"
241,"Malcolm","Broderick",oracle.sql.STRUCT@682eb58d,[+1 410 123 4817],"us","AMERICA",2400,"Malcolm.Broderick@PLOVER.COM",145,oracle.sql.STRUCT@28f47a90,28/06/52,"single","M","F: 110,000 - 129,999"
242,"Mary","Lemmon",oracle.sql.STRUCT@5300706c,[+1 301 123 4818],"us","AMERICA",2400,"Mary.Lemmon@PUFFIN.COM",145,oracle.sql.STRUCT@4d034cad,18/07/62,"married","M","K: 250,000 - 299,999"
243,"Mary","Collins",oracle.sql.STRUCT@509c0a5d,[+1 301 123 4819],"us","AMERICA",2400,"Mary.Collins@PYRRHULOXIA.COM",145,oracle.sql.STRUCT@5bb7ca24,18/08/55,"married","F","F: 110,000 - 129,999"
244,"Matt","Gueney",oracle.sql.STRUCT@be4422e,[+1 410 123 4822],"us","AMERICA",2400,"Matt.Gueney@REDPOLL.COM",145,oracle.sql.STRUCT@5c5501db,27/08/52,"single","M","G: 130,000 - 149,999"
245,"Max","von Sydow",oracle.sql.STRUCT@6cab36ee,[+1 410 123 4840],"us","AMERICA",2400,"Max.vonSydow@REDSTART.COM",145,oracle.sql.STRUCT@92827b5,07/09/67,"single","M","K: 250,000 - 299,999"
246,"Max","Schell",oracle.sql.STRUCT@20f4f18c,[+1 414 123 4363],"us","AMERICA",2400,"Max.Schell@SANDERLING.COM",145,oracle.sql.STRUCT@54db6790,16/09/84,"married","M","F: 110,000 - 129,999"
247,"Cynda","Whitcraft",oracle.sql.STRUCT@617227a3,[+1 507 123 4387],"us","AMERICA",2400,"Cynda.Whitcraft@SANDPIPER.COM",145,oracle.sql.STRUCT@29afb1b7,16/10/54,"married","M","B: 30,000 - 49,999"
248,"Donald","Minnelli",oracle.sql.STRUCT@2ed04d9f,[+1 612 123 4436],"us","AMERICA",2400,"Donald.Minnelli@SCAUP.COM",145,oracle.sql.STRUCT@21385832,26/10/53,"single","M","F: 110,000 - 129,999"
249,"Hannah","Broderick",oracle.sql.STRUCT@51873c89,[+1 219 123 4145],"us","AMERICA",2400,"Hannah.Broderick@SHRIKE.COM",145,oracle.sql.STRUCT@5711d07,16/11/75,"married","M","D: 70,000 - 89,999"
250,"Dan","Williams",oracle.sql.STRUCT@29e10483,[+1 616 123 4190],"us","AMERICA",2400,"Dan.Williams@SISKIN.COM",145,oracle.sql.STRUCT@4a7b2045,25/11/84,"single","M","A: Below 30,000"
251,"Raul","Wilder",oracle.sql.STRUCT@22702ef7,[+1 313 123 4241],"us","AMERICA",2500,"Raul.Wilder@STILT.COM",145,oracle.sql.STRUCT@2fe4869b,15/12/45,"married","M","E: 90,000 - 109,999"
